ID	site	nation	POINT_X	POINT_Y	type	name	asset_no	caption	date_est	image
1	BLOOD 148A	Kainai Nation	-113.693093	49.02332009	Bridge / Culvert	Testing data: BLOOD 148A:Bridge / Culvert1	878462-01	"this is testing data, not a real asset that exists"	1890-08-30T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
2	BLOOD 148A	Kainai Nation	-113.684859	49.04176706	Bridge / Culvert	Testing data: BLOOD 148A:Bridge / Culvert2	477785-01	"this is testing data, not a real asset that exists"	1933-08-10T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
3	BLOOD 148A	Kainai Nation	-113.7073991	49.05880663	Bridge / Culvert	Testing data: BLOOD 148A:Bridge / Culvert3	876597-01	"this is testing data, not a real asset that exists"	1866-04-07T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
4	BLOOD 148	Kainai Nation	-113.3876488	49.22978315	Bridge / Culvert	Testing data: BLOOD 148:Bridge / Culvert4	819243-01	"this is testing data, not a real asset that exists"	1944-01-15T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
5	BLOOD 148	Kainai Nation	-113.2629008	49.40290539	Bridge / Culvert	Testing data: BLOOD 148:Bridge / Culvert5	553284-01	"this is testing data, not a real asset that exists"	1962-07-25T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
6	BLOOD 148	Kainai Nation	-113.1147338	49.51049246	Bridge / Culvert	Testing data: BLOOD 148:Bridge / Culvert6	374197-01	"this is testing data, not a real asset that exists"	1965-07-30T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
7	PIIKANI 147	Piikani Nation	-113.6689185	49.53754287	Bridge / Culvert	Testing data: PIIKANI 147:Bridge / Culvert7	813371-01	"this is testing data, not a real asset that exists"	1968-04-05T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
8	PIIKANI 147	Piikani Nation	-113.5934258	49.62050945	Bridge / Culvert	Testing data: PIIKANI 147:Bridge / Culvert8	238267-01	"this is testing data, not a real asset that exists"	1972-10-09T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
9	PIIKANI 147	Piikani Nation	-113.7116113	49.65554395	Bridge / Culvert	Testing data: PIIKANI 147:Bridge / Culvert9	557172-01	"this is testing data, not a real asset that exists"	1977-05-26T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
10	BLOOD 148	Kainai Nation	-113.1818611	49.68844782	Bridge / Culvert	Testing data: BLOOD 148:Bridge / Culvert10	702651-01	"this is testing data, not a real asset that exists"	1980-10-10T00:00:00Z	https://s0.geograph.org.uk/geophotos/01/16/21/1162194_02646196.jpg
